"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"14","GTD","Jack Hawksworth","44","1:22.260","1:02:22.109","Green","Track","11.747","29.939","40.574"
"96","GTD","Robby Foley","44","1:22.180","1:02:25.312","Green","Track","11.804","29.602","40.774"
"36","LMP3","Oliver Askew","45","1:18.370","1:02:32.574","Green","Track","10.952","28.931","38.487"
"54","LMP3","Colin Braun","45","1:18.885","1:02:34.459","Green","Track","10.978","29.368","38.539"
"91","LMP3","Dylan Murry","45","1:18.741","1:02:46.052","Green","Track","11.105","29.067","38.569"
"88","GTD","Rob Ferriol","44","1:31.748","1:02:48.138","Green","Pit","11.761","30.178","49.809"
"12","GTD","Zach Veach","44","1:22.344","1:02:48.472","Green","Track","11.504","30.224","40.616"
"28","GTD","Michael de Quesada","44","1:23.125","1:02:54.568","Green","Track","11.813","30.377","40.935"
"23","GTD","Ross Gunn","44","1:21.564","1:02:58.593","Green","Track","11.520","29.571","40.473"
"76","GTD","Mario Farnbacher","44","1:21.972","1:03:02.486","Green","Track","11.604","29.800","40.568"
"16","GTD","Patrick Long","44","1:22.006","1:03:09.085","Green","Track","11.509","29.942","40.555"
"55","DPi","Harry Tincknell","50","1:12.683","1:03:12.021","Green","Track","10.025","26.638","36.020"
"66","GTD","Marc Miller","44","1:22.197","1:03:17.695","Green","Track","11.566","30.219","40.412"
"31","DPi","Felipe Nasr","50","1:15.302","1:03:21.011","Green","Track","10.521","27.634","37.147"
"44","GTD","Andy Lally","44","1:22.258","1:03:21.064","Green","Track","11.742","29.906","40.610"
"74","LMP3","Felipe Fraga","46","1:19.119","1:03:24.643","Green","Track","11.387","29.061","38.671"
"33","LMP3","Joao Barbosa","45","1:21.369","1:03:26.774","Green","Track","11.785","29.438","40.146"
"10","DPi","Filipe Albuquerque","50","1:15.210","1:03:26.945","Green","Track","9.906","26.989","38.315"
"5","DPi","Tristan Vautier","50","1:14.135","1:03:28.092","Green","Track","10.032","26.750","37.353"
"1","GTD","Madison Snow","45","1:23.560","1:03:28.102","Green","Track","11.640","30.128","41.792"
"01","DPi","Kevin Magnussen","50","1:14.956","1:03:29.479","Green","Track","10.050","26.861","38.045"
"9","GTD","Zacharie Robichon","45","1:23.889","1:03:29.529","Green","Track","12.138","30.012","41.739"
"39","GTD","Richard Heistand","45","1:23.469","1:03:30.188","Green","Track","11.703","30.005","41.761"
"60","DPi","Olivier Pla","50","1:13.380","1:03:30.417","Green","Track","9.946","26.764","36.670"
"38","LMP3","Rasmus Lindh","46","1:18.755","1:03:34.540","Green","Track","10.846","29.109","38.800"
"14","GTD","Jack Hawksworth","45","1:21.774","1:03:43.883","Green","Track","11.519","29.819","40.436"
"96","GTD","Robby Foley","45","1:21.777","1:03:47.089","Green","Track","11.512","29.686","40.579"
"36","LMP3","Oliver Askew","46","1:18.290","1:03:50.864","Green","Track","10.902","28.840","38.548"
"54","LMP3","Colin Braun","46","1:17.768","1:03:52.227","Green","Track","10.812","28.803","38.153"
"91","LMP3","Dylan Murry","46","1:18.045","1:04:04.097","Green","Track","10.870","28.912","38.263"
"12","GTD","Zach Veach","45","1:21.507","1:04:09.979","Green","Track","11.483","29.844","40.180"
"28","GTD","Michael de Quesada","45","1:22.426","1:04:16.994","Green","Track","11.717","30.040","40.669"
"23","GTD","Ross Gunn","45","1:21.442","1:04:20.035","Green","Track","11.525","29.558","40.359"
"76","GTD","Mario Farnbacher","45","1:21.829","1:04:24.315","Green","Track","11.558","29.761","40.510"
"55","DPi","Harry Tincknell","51","1:12.550","1:04:24.571","Green","Track","9.861","26.684","36.005"
"16","GTD","Patrick Long","45","1:21.720","1:04:30.805","Green","Track","11.510","29.735","40.475"
"31","DPi","Felipe Nasr","51","1:13.051","1:04:34.062","Green","Track","10.102","26.834","36.115"
"66","GTD","Marc Miller","45","1:22.115","1:04:39.810","Green","Track","11.570","30.075","40.470"
"10","DPi","Filipe Albuquerque","51","1:14.541","1:04:41.486","Green","Track","10.200","27.172","37.169"
"5","DPi","Tristan Vautier","51","1:15.245","1:04:43.337","Green","Track","10.209","26.970","38.066"
"01","DPi","Kevin Magnussen","51","1:14.345","1:04:43.824","Green","Track","10.154","26.809","37.382"
"44","GTD","Andy Lally","45","1:22.862","1:04:43.926","Green","Track","11.623","29.950","41.289"
"74","LMP3","Felipe Fraga","47","1:19.865","1:04:44.508","Green","Track","10.849","29.195","39.821"
"60","DPi","Olivier Pla","51","1:15.036","1:04:45.453","Green","Track","10.552","27.147","37.337"
"33","LMP3","Joao Barbosa","46","1:19.789","1:04:46.563","Green","Track","11.223","29.430","39.136"
"9","GTD","Zacharie Robichon","46","1:22.623","1:04:52.152","Green","Track","11.838","29.829","40.956"
"38","LMP3","Rasmus Lindh","47","1:18.609","1:04:53.149","Green","Track","10.918","28.833","38.858"
"1","GTD","Madison Snow","46","1:30.107","1:04:58.209","Green","Pit","11.702","30.066","48.339"
"14","GTD","Jack Hawksworth","46","1:22.736","1:05:06.619","Green","Track","11.502","30.345","40.889"
"88","GTD","Katherine Legge","45","2:21.243","1:05:09.381","Green","Track","64.696","32.822","43.725"
"96","GTD","Robby Foley","46","1:22.429","1:05:09.518","Green","Track","11.519","29.675","41.235"
"36","LMP3","Oliver Askew","47","1:18.789","1:05:09.653","Green","Track","10.904","28.873","39.012"
"54","LMP3","Colin Braun","47","1:18.134","1:05:10.361","Green","Track","10.780","28.825","38.529"
"91","LMP3","Dylan Murry","47","1:17.929","1:05:22.026","Green","Track","10.829","28.893","38.207"
"12","GTD","Zach Veach","46","1:21.813","1:05:31.792","Green","Track","11.479","29.979","40.355"
