"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"31","P","Eric Curran","4","1:15.979","5:39.053","Green","Track","3.892","6.429","4.115","7.998","7.099","1.842","0.496","6.750","13.851","13.882","5.451","4.174","164.956"
"22","P","Johannes van Overbeek","4","1:15.649","5:39.718","Green","Track","3.852","6.428","3.972","8.071","6.939","1.807","0.486","6.541","14.039","13.852","5.406","4.256","168.350"
"2","P","Scott Sharp","4","1:18.338","5:46.941","Green","Track","3.921","6.762","4.152","8.152","6.992","1.838","0.495","6.798","14.889","14.371","5.567","4.401","165.289"
"54","P","Jonathan Bennett","4","1:18.462","5:52.932","Green","Track","4.059","6.785","4.110","8.302","7.011","1.810","0.485","6.970","14.617","14.286","5.574","4.453","168.697"
"911","GTLM","Nick Tandy","4","1:19.980","5:54.796","Green","Track","4.177","7.161","4.317","8.241","7.462","1.945","0.523","6.913","14.584","14.681","5.519","4.457","156.440"
"912","GTLM","Earl Bamber","4","1:20.067","5:55.590","Green","Track","4.175","7.036","4.333","8.179","7.450","1.943","0.522","6.970","14.672","14.795","5.501","4.491","156.740"
"25","GTLM","Alexander Sims","4","1:20.089","5:56.202","Green","Track","4.124","7.063","4.294","8.254","7.406","1.912","0.513","6.962","14.719","14.747","5.663","4.432","159.490"
"3","GTLM","Antonio Garcia","4","1:19.927","5:56.790","Green","Track","4.132","7.039","4.335","8.189","7.486","1.937","0.520","6.843","14.672","14.793","5.479","4.502","157.343"
"24","GTLM","John Edwards","4","1:19.898","5:57.112","Green","Track","4.183","7.049","4.309","8.188","7.365","1.906","0.511","6.974","14.607","14.906","5.425","4.475","160.114"
"85","P","Robert Alon","4","1:17.464","5:57.314","Green","Track","3.952","6.590","4.139","8.625","7.011","1.812","0.487","6.733","13.871","14.456","5.515","4.273","168.004"
"66","GTLM","Dirk Mueller","4","1:20.681","5:59.402","Green","Track","4.220","7.080","4.347","8.465","7.536","1.942","0.521","7.135","14.646","14.703","5.495","4.591","157.041"
"67","GTLM","Ryan Briscoe","4","1:20.732","6:00.450","Green","Track","4.305","7.209","4.377","8.206","7.469","1.927","0.518","6.992","14.641","14.988","5.547","4.553","157.950"
